##NAMES=Symplesite
##RRUFFID=R120074
##IDEAL CHEMISTRY=Fe^2+^_3_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Saubachbruch, Muldenberg, Vogtland, Sachsen, Germany
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Aggregate of black bladed crystals,  2-fold twin around [1 -1 0]
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120074
681.4009, 1.179919
681.8831, 1.472528
682.3652, 1.468071
682.8473, 1.223470
683.3294, 1.009129
683.8115, 1.004430
684.2936, 1.071646
684.7758, 1.136246
685.2579, 1.192021
685.7400, 1.190650
686.2221, 1.069557
686.7042, 0.9259330
687.1863, 0.7983080
687.6685, 0.6735740
688.1506, 0.6294420
688.6327, 0.6827440
689.1148, 0.7831750
689.5969, 0.9106570
690.0790, 1.059805
690.5612, 1.136158
691.0433, 1.127688
691.5254, 1.059334
692.0075, 0.9208530
692.4896, 0.7503830
692.9717, 0.6146610
693.4539, 0.5192360
693.9360, 0.4866170
694.4181, 0.5907740
694.9002, 0.7516390
695.3823, 0.8453360
695.8644, 0.7898820
696.3466, 0.7280730
696.8287, 0.6636180
697.3108, 0.6116880
697.7929, 0.6297250
698.2750, 0.7539600
698.7571, 0.8060230
699.2393, 0.6873780
699.7214, 0.4796100
700.2035, 0.4697460
700.6856, 0.6323200
701.1677, 0.7481170
701.6498, 0.6274980
702.1320, 0.4325130
702.6141, 0.3404420
703.0962, 0.3473980
703.5783, 0.3785000
704.0604, 0.4472460
704.5425, 0.4911670
705.0247, 0.4612260
705.5068, 0.3342420
705.9889, 0.2436530
706.4710, 0.2122370
706.9531, 0.1913090
707.4352, 0.1334810
707.9174, 2.7127000E-02
708.3995, 2.4680000E-02
708.8816, 0.1499810
709.3637, 0.2800990
709.8458, 0.2479670
710.3279, 0.1199160
710.8101, 7.8481004E-02
711.2922, 0.1764180
711.7743, 0.2663010
712.2564, 0.2308660
712.7385, 0.1274940
713.2206, 2.3480000E-02
713.7028, 7.4790001E-02
714.1849, 0.1552900
714.6670, 0.2054940
715.1491, 0.2414850
715.6312, 0.2974490
716.1133, 0.4183290
716.5955, 0.4181960
