##NAMES=Chestermanite
##RRUFFID=R070351
##IDEAL CHEMISTRY=Mg_2_(Fe^3+^,Mg,Al,Sb^5+^)O_2_BO_3_
##LOCALITY=Twin Lakes region, Kaiser Peak quadrangle, Fresno County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black bladed associated with calcite, co-type sample
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070351
663.1163, 903.3921
663.5984, 922.9727
664.0806, 940.9321
664.5627, 959.0913
665.0448, 976.2144
665.5269, 995.0532
666.0090, 1019.076
666.4911, 1050.546
666.9733, 1068.559
667.4554, 1068.213
667.9375, 1065.032
668.4196, 1074.272
668.9017, 1094.970
669.3839, 1103.486
669.8660, 1096.748
670.3481, 1085.133
670.8302, 1078.153
671.3123, 1074.917
671.7944, 1074.720
672.2766, 1083.996
672.7587, 1085.640
673.2408, 1055.491
673.7229, 1010.422
674.2050, 983.6562
674.6871, 1007.111
675.1693, 1025.785
675.6514, 1022.046
676.1335, 1000.467
676.6156, 984.4873
677.0977, 976.9482
677.5798, 969.6909
678.0620, 960.0298
678.5441, 947.3018
679.0262, 924.7998
679.5083, 891.9771
679.9904, 860.4062
680.4725, 843.1401
680.9547, 831.9580
681.4368, 807.2734
681.9189, 765.0356
682.4010, 730.2114
682.8831, 735.8418
683.3652, 749.5947
683.8474, 737.6001
684.3295, 667.4404
684.8116, 611.2041
685.2937, 590.6733
685.7758, 584.4697
686.2579, 564.2437
686.7401, 521.6431
687.2222, 489.3672
687.7043, 477.4390
688.1864, 476.4375
688.6685, 461.0752
689.1506, 431.5195
689.6328, 403.1348
690.1149, 385.1753
690.5970, 371.0781
691.0791, 347.7061
691.5612, 317.5762
692.0433, 294.3027
692.5255, 294.6646
693.0076, 296.2373
693.4897, 281.7441
693.9718, 248.2153
694.4539, 222.8984
694.9360, 217.2285
695.4182, 213.5015
695.9003, 201.6587
696.3824, 179.0620
696.8645, 160.3037
697.3466, 145.6675
697.8287, 134.5166
698.3109, 129.9995
698.7930, 129.5718
699.2751, 117.0063
699.7572, 86.11523
700.2393, 56.09570
