##NAMES=Kleinite
##RRUFFID=R150103
##IDEAL CHEMISTRY=Hg_2_N(Cl,S^6+^O_4_)&#183;nH_2_O
##LOCALITY=Terlingua, Brewster Co., Texas, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of orange short hexagonal prismatic crystals, associated with colorless or white prismatic gypsum. Part of the type find.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R150103
586.3634, 877.1013
586.8455, 841.1399
587.3276, 804.4077
587.8098, 770.3997
588.2919, 742.9844
588.7740, 715.6401
589.2561, 686.1033
589.7382, 654.3003
590.2203, 623.9673
590.7025, 595.9402
591.1846, 568.4468
591.6667, 539.3984
592.1488, 508.2292
592.6309, 483.0659
593.1130, 464.8142
593.5952, 449.9961
594.0773, 435.3855
594.5594, 420.5947
595.0415, 404.6531
595.5236, 386.8115
596.0057, 368.2012
596.4879, 349.3245
596.9700, 331.0437
597.4521, 315.4062
597.9342, 306.5842
598.4163, 297.6770
598.8984, 283.2861
599.3806, 264.4497
599.8627, 250.0979
600.3448, 245.9705
600.8269, 242.9363
601.3090, 236.7292
601.7911, 226.5994
602.2733, 216.7454
602.7554, 207.1255
603.2375, 197.3242
603.7196, 187.0674
604.2017, 176.1267
604.6838, 165.7583
605.1660, 156.2346
605.6481, 147.3582
606.1302, 138.4016
606.6123, 129.2612
607.0944, 121.3179
607.5765, 116.6128
608.0587, 112.6191
608.5408, 103.5322
609.0229, 90.58618
609.5050, 80.57788
609.9871, 81.05762
610.4692, 83.64404
610.9514, 82.60498
611.4335, 77.03223
611.9156, 72.85083
612.3977, 74.14258
612.8798, 74.86816
613.3619, 71.26392
613.8441, 60.04321
614.3262, 53.44189
614.8083, 52.88867
615.2904, 54.04858
615.7725, 51.48389
616.2546, 45.04517
616.7368, 40.18970
617.2189, 38.27539
617.7010, 37.82104
618.1831, 35.91772
618.6652, 33.12866
619.1473, 31.43994
619.6295, 32.84741
620.1116, 35.18896
620.5937, 36.34937
621.0758, 36.20190
621.5579, 35.10986
622.0400, 30.99194
622.5222, 27.97437
623.0043, 29.72925
623.4864, 38.19092
623.9685, 41.88940
624.4506, 36.30322
624.9327, 28.68384
625.4149, 23.55566
625.8970, 21.54102
626.3791, 19.82593
626.8612, 17.96802
627.3433, 17.22656
627.8254, 20.70068
628.3076, 27.95508
628.7897, 31.63843
629.2718, 29.03589
629.7539, 23.30103
630.2360, 18.51929
630.7181, 14.89209
631.2003, 12.67334
631.6824, 12.07178
632.1645, 12.57715
632.6466, 14.82520
633.1287, 18.47144
