##NAMES=Pyroaurite
##RRUFFID=R100053
##IDEAL CHEMISTRY=Mg_6_Fe^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale bluish-green hexagonal tablets embedded in calcite, associated with magnetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100053
591.4883, 33.54215
591.9704, 33.65866
592.4525, 33.66880
592.9346, 33.34432
593.4167, 32.94410
593.8989, 32.81122
594.3810, 32.99536
594.8631, 33.20303
595.3452, 33.10642
595.8273, 32.73702
596.3094, 32.45556
596.7916, 32.27443
597.2737, 32.15060
597.7558, 32.03777
598.2379, 31.98954
598.7200, 32.11196
599.2021, 32.44007
599.6843, 32.70387
600.1664, 32.77337
600.6485, 32.69333
601.1306, 32.44890
601.6127, 32.07241
602.0948, 31.81222
602.5770, 31.82107
603.0591, 32.02680
603.5412, 32.23501
604.0233, 32.49171
604.5054, 32.66954
604.9875, 32.86820
605.4697, 32.90289
605.9518, 32.47369
606.4339, 31.78215
606.9160, 31.34979
607.3981, 31.49077
607.8802, 31.93501
608.3624, 32.16904
608.8445, 32.17502
609.3266, 32.09438
609.8087, 31.86616
610.2908, 31.66403
610.7729, 31.67285
611.2551, 31.81262
611.7372, 31.83945
612.2193, 31.62878
612.7014, 31.36593
613.1835, 31.14579
613.6656, 30.97676
614.1478, 30.90784
614.6299, 30.94995
615.1120, 30.96639
615.5941, 30.77978
616.0762, 30.38781
616.5583, 30.32503
617.0405, 30.90327
617.5226, 31.41981
618.0047, 31.84670
618.4868, 32.10943
618.9689, 32.06342
619.4510, 31.73648
619.9332, 31.39344
620.4153, 31.24368
620.8974, 31.25809
621.3795, 31.36727
621.8616, 31.60147
622.3438, 31.77182
622.8259, 31.80960
623.3080, 31.74553
623.7901, 31.58113
624.2722, 31.30384
624.7543, 31.15672
625.2365, 31.41063
625.7186, 31.64663
626.2007, 31.40270
626.6828, 30.84675
627.1649, 30.49029
627.6470, 30.54926
628.1292, 30.82074
628.6113, 30.97745
629.0934, 30.97728
629.5755, 31.03819
630.0576, 31.24177
630.5397, 31.41982
631.0219, 31.57721
631.5040, 31.65797
631.9861, 31.57433
632.4682, 31.29793
632.9503, 30.94259
633.4324, 30.50158
633.9146, 30.06485
634.3967, 29.94597
634.8788, 30.18554
635.3609, 30.62894
635.8430, 31.33814
636.3251, 32.10422
636.8073, 32.24084
