##NAMES=Rheniite
##RRUFFID=R050362
##IDEAL CHEMISTRY=ReS_2_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Chain, Russia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Bright, shiney metallic crystals associated with anhydrite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R050362
556.437, 1180.448
556.919, 1192.425
557.401, 1196.615
557.884, 1193.503
558.366, 1190.230
558.848, 1191.502
559.330, 1195.502
559.812, 1195.732
560.294, 1187.958
560.776, 1186.831
561.258, 1202.321
561.740, 1218.049
562.223, 1225.487
562.705, 1225.241
563.187, 1221.251
563.669, 1212.417
564.151, 1203.502
564.633, 1202.518
565.115, 1206.493
565.597, 1200.336
566.080, 1177.544
566.562, 1157.063
567.044, 1164.136
567.526, 1204.405
568.008, 1227.464
568.490, 1223.308
568.972, 1216.146
569.454, 1211.557
569.937, 1208.811
570.419, 1206.391
570.901, 1203.900
571.383, 1202.073
571.865, 1199.981
572.347, 1198.804
572.829, 1208.197
573.311, 1232.671
573.794, 1246.346
574.276, 1227.054
574.758, 1192.708
575.240, 1185.540
575.722, 1218.048
576.204, 1240.456
576.686, 1233.158
577.168, 1217.717
577.650, 1213.052
578.133, 1217.203
578.615, 1216.132
579.097, 1200.566
579.579, 1180.929
580.061, 1186.033
580.543, 1225.384
581.025, 1244.773
581.507, 1221.978
581.989, 1196.078
582.472, 1194.498
582.954, 1210.058
583.436, 1221.697
583.918, 1222.417
584.400, 1219.923
584.882, 1218.405
585.364, 1217.653
585.846, 1216.348
586.328, 1214.458
586.811, 1215.511
587.293, 1223.401
587.775, 1237.641
588.257, 1250.597
588.739, 1269.957
589.221, 1275.629
589.703, 1250.998
590.185, 1221.806
590.667, 1210.299
591.150, 1217.542
591.632, 1228.518
592.114, 1238.126
592.596, 1243.910
593.078, 1237.328
593.560, 1221.083
594.042, 1216.285
594.524, 1233.185
595.007, 1256.714
595.489, 1263.803
595.971, 1248.229
596.453, 1242.145
596.935, 1251.696
597.417, 1262.643
597.899, 1272.925
598.381, 1280.133
598.864, 1279.964
599.346, 1271.316
599.828, 1262.100
600.310, 1261.723
600.792, 1267.504
601.274, 1267.889
601.756, 1261.276
602.238, 1258.016
602.721, 1264.526
603.203, 1277.459
603.685, 1289.335
604.167, 1302.736
604.649, 1309.274
605.131, 1302.698
605.613, 1293.801
606.095, 1285.015
606.577, 1280.322
607.060, 1289.837
607.542, 1320.037
608.024, 1353.282
608.506, 1358.948
608.988, 1337.416
609.470, 1320.215
609.952, 1310.999
610.434, 1305.734
610.916, 1301.872
611.399, 1299.924
611.881, 1301.217
612.363, 1307.542
612.845, 1314.242
613.327, 1324.440
613.809, 1331.372
614.291, 1323.466
614.773, 1304.322
615.255, 1291.895
615.738, 1299.141
616.220, 1317.799
616.702, 1327.143
617.184, 1326.434
617.666, 1320.147
618.148, 1301.684
618.630, 1287.608
619.112, 1297.885
619.594, 1324.541
620.077, 1339.849
620.559, 1333.214
621.041, 1321.469
621.523, 1306.766
622.005, 1294.178
622.487, 1293.297
622.969, 1303.919
623.451, 1314.379
623.934, 1313.865
624.416, 1306.528
624.898, 1313.398
625.380, 1342.558
625.862, 1359.122
626.344, 1343.033
626.826, 1323.860
627.308, 1328.438
627.791, 1352.903
628.273, 1373.278
628.755, 1381.682
629.237, 1385.699
629.719, 1390.870
630.201, 1394.594
630.683, 1390.444
631.165, 1377.879
631.648, 1365.143
632.130, 1360.834
632.612, 1363.559
633.094, 1361.211
633.576, 1350.372
634.058, 1342.836
634.540, 1344.532
635.022, 1348.399
635.504, 1350.019
635.987, 1348.961
636.469, 1343.143
636.951, 1324.636
637.433, 1308.059
637.915, 1304.701
638.397, 1310.912
638.879, 1320.297
639.361, 1330.789
639.843, 1341.475
640.326, 1351.762
640.808, 1361.466
641.290, 1367.962
641.772, 1371.504
642.254, 1371.152
642.736, 1360.880
643.218, 1350.743
643.700, 1350.455
644.182, 1359.752
644.665, 1369.040
645.147, 1375.451
645.629, 1380.537
646.111, 1386.067
646.593, 1391.034
647.075, 1392.839
647.557, 1390.984
648.039, 1388.274
648.521, 1387.601
649.004, 1388.921
649.486, 1392.655
649.968, 1403.320
650.450, 1405.522
650.932, 1384.151
651.414, 1360.411
651.896, 1356.431
652.378, 1371.742
652.861, 1383.926
653.343, 1389.153
653.825, 1386.552
654.307, 1366.424
654.789, 1340.547
655.271, 1333.673
655.753, 1350.669
656.235, 1370.401
656.718, 1370.143
657.200, 1352.782
657.682, 1340.807
658.164, 1334.698
658.646, 1332.816
659.128, 1336.938
659.610, 1343.182
660.092, 1348.488
660.575, 1352.752
661.057, 1353.816
661.539, 1349.092
662.021, 1343.388
662.503, 1335.632
662.985, 1330.067
663.467, 1334.936
663.949, 1350.718
664.431, 1367.722
664.914, 1377.547
665.396, 1381.099
665.878, 1381.528
666.360, 1378.607
666.842, 1373.451
667.324, 1364.146
667.806, 1355.567
668.288, 1351.684
668.770, 1352.519
669.253, 1361.299
669.735, 1384.718
670.217, 1408.437
670.699, 1431.585
671.181, 1449.563
671.663, 1454.969
672.145, 1448.654
672.627, 1440.251
673.109, 1438.108
673.592, 1437.402
674.074, 1422.910
674.556, 1394.568
675.038, 1378.805
675.520, 1385.082
676.002, 1395.959
676.484, 1395.005
676.966, 1383.101
677.448, 1375.169
677.931, 1369.924
678.413, 1369.909
678.895, 1377.112
679.377, 1388.555
679.859, 1406.009
680.341, 1425.936
680.823, 1437.452
681.305, 1432.633
681.788, 1420.838
682.270, 1412.718
682.752, 1408.514
683.234, 1410.929
683.716, 1420.951
684.198, 1430.449
684.680, 1432.400
685.162, 1429.174
685.644, 1431.764
686.127, 1446.330
686.609, 1456.707
687.091, 1457.373
687.573, 1458.769
688.055, 1472.364
688.537, 1490.568
689.019, 1494.010
689.502, 1471.330
689.984, 1448.521
690.466, 1449.892
690.948, 1463.583
691.430, 1470.877
691.912, 1469.549
692.394, 1459.583
692.876, 1439.623
693.358, 1417.293
693.841, 1411.129
694.323, 1426.935
694.805, 1437.101
695.287, 1438.286
695.769, 1437.854
696.251, 1440.135
696.733, 1442.554
697.215, 1440.423
697.697, 1431.863
698.180, 1425.838
698.662, 1430.840
699.144, 1435.526
699.626, 1422.797
700.108, 1402.423
700.590, 1402.164
701.072, 1431.639
701.554, 1465.673
702.036, 1471.630
702.519, 1452.187
703.001, 1433.084
703.483, 1412.163
703.965, 1403.357
704.447, 1418.643
704.929, 1440.878
705.411, 1444.926
705.893, 1428.181
706.375, 1418.878
706.858, 1423.475
707.340, 1429.329
707.822, 1433.148
708.304, 1435.035
708.786, 1434.366
709.268, 1431.717
709.750, 1430.102
710.232, 1431.882
710.715, 1435.688
711.197, 1440.903
711.679, 1446.584
712.161, 1446.600
712.643, 1439.073
713.125, 1430.308
713.607, 1425.256
714.089, 1424.140
714.571, 1429.309
715.054, 1448.150
715.536, 1460.103
716.018, 1458.036
716.500, 1453.427
716.982, 1449.901
717.464, 1449.423
717.946, 1457.609
718.429, 1482.962
718.911, 1501.233
719.393, 1490.313
