##NAMES=Carnotite
##RRUFFID=R070647
##IDEAL CHEMISTRY=K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_&#183;3H_2_O
##LOCALITY=Anderson mine, Yavapai County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Lloyd Twaites
##DESCRIPTION=Orange blocky crystals associated with yellow platy weeksite, R050330
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070647
543.7861, 12673.05
544.2682, 12452.97
544.7503, 12225.71
545.2324, 11980.80
545.7145, 11742.15
546.1967, 11516.00
546.6788, 11299.35
547.1609, 11089.68
547.6430, 10886.98
548.1251, 10690.37
548.6072, 10500.80
549.0894, 10318.31
549.5715, 10130.48
550.0536, 9914.796
550.5357, 9726.876
551.0178, 9601.217
551.4999, 9506.338
551.9821, 9395.277
552.4642, 9250.192
552.9463, 9106.898
553.4284, 9004.876
553.9105, 8884.586
554.3926, 8816.832
554.8748, 8741.444
555.3569, 8659.390
555.8390, 8523.430
556.3211, 8477.805
556.8032, 8408.659
557.2853, 8347.236
557.7675, 8340.201
558.2496, 8258.666
558.7317, 8269.028
559.2138, 8259.419
559.6959, 8249.247
560.1780, 8242.450
560.6602, 8221.172
561.1423, 8174.936
561.6244, 8156.395
562.1065, 8190.823
562.5886, 8229.503
563.0707, 8252.288
563.5529, 8268.193
564.0350, 8296.755
564.5171, 8348.828
564.9992, 8408.979
565.4813, 8454.284
565.9634, 8486.084
566.4456, 8526.286
566.9277, 8581.147
567.4098, 8643.746
567.8919, 8712.090
568.3740, 8784.786
568.8561, 8845.340
569.3383, 8871.454
569.8204, 8903.230
570.3025, 8971.795
570.7846, 9066.910
571.2667, 9161.764
571.7488, 9244.885
572.2310, 9324.771
572.7131, 9415.970
573.1952, 9526.383
573.6773, 9627.731
574.1594, 9711.621
574.6415, 9795.254
575.1237, 9889.507
575.6058, 9988.817
576.0879, 10079.33
576.5700, 10151.16
577.0521, 10219.50
577.5342, 10316.82
578.0164, 10443.24
578.4985, 10544.06
578.9806, 10599.75
579.4627, 10635.43
579.9448, 10672.58
580.4269, 10711.33
580.9091, 10755.58
581.3912, 10827.99
581.8733, 10886.54
582.3554, 10895.11
582.8375, 10866.84
583.3196, 10837.01
583.8018, 10820.51
584.2839, 10806.75
584.7660, 10778.35
585.2481, 10736.45
585.7302, 10676.06
586.2123, 10578.58
586.6945, 10482.03
587.1766, 10411.86
587.6587, 10352.79
588.1408, 10270.38
588.6229, 10144.18
589.1050, 10003.47
589.5872, 9891.204
590.0693, 9805.793
590.5514, 9721.468
591.0335, 9635.074
591.5156, 9543.781
591.9977, 9438.887
592.4799, 9323.191
592.9620, 9220.872
593.4441, 9154.822
593.9262, 9083.963
594.4083, 8964.147
594.8904, 8825.340
595.3726, 8736.052
595.8547, 8719.660
596.3368, 8732.365
596.8189, 8713.285
597.3010, 8659.614
597.7831, 8587.892
598.2653, 8469.233
598.7474, 8362.937
599.2295, 8291.125
599.7116, 8243.241
600.1937, 8203.919
600.6758, 8169.799
601.1580, 8134.573
601.6401, 8087.721
602.1222, 8032.870
602.6043, 7992.085
603.0864, 7974.328
603.5685, 7949.115
604.0507, 7882.113
604.5328, 7780.216
605.0149, 7711.480
605.4970, 7717.711
605.9791, 7707.747
606.4612, 7631.008
606.9434, 7528.964
607.4255, 7453.357
607.9076, 7416.299
608.3897, 7398.491
608.8718, 7383.146
609.3539, 7369.956
609.8361, 7344.316
610.3182, 7300.102
610.8003, 7253.075
611.2824, 7200.864
611.7645, 7152.646
612.2466, 7121.608
612.7288, 7111.332
613.2109, 7099.209
613.6930, 7066.803
614.1751, 7023.879
614.6572, 6988.323
615.1393, 6961.519
615.6215, 6934.657
616.1036, 6899.396
616.5857, 6861.796
617.0678, 6843.453
617.5499, 6868.313
618.0320, 6879.161
618.5142, 6857.798
618.9963, 6833.781
619.4784, 6832.021
619.9605, 6849.853
620.4426, 6868.404
620.9247, 6875.195
621.4069, 6872.979
621.8890, 6867.568
622.3711, 6857.940
622.8532, 6850.365
623.3353, 6840.604
623.8174, 6839.955
624.2996, 6862.218
624.7817, 6905.932
625.2638, 6950.334
625.7459, 6999.750
626.2280, 7039.358
626.7101, 7044.780
627.1923, 7031.081
627.6744, 7040.842
628.1565, 7091.149
628.6386, 7157.564
629.1207, 7199.179
629.6028, 7206.792
630.0850, 7226.755
630.5671, 7261.006
631.0492, 7306.566
631.5313, 7369.594
632.0134, 7441.319
632.4955, 7512.327
632.9777, 7581.796
633.4598, 7636.081
633.9419, 7648.680
634.4240, 7634.205
634.9061, 7643.573
635.3882, 7685.430
635.8704, 7737.923
636.3525, 7790.278
636.8346, 7839.768
637.3167, 7868.404
637.7988, 7860.097
638.2809, 7855.202
638.7631, 7864.192
639.2452, 7876.956
639.7273, 7890.413
640.2094, 7899.824
640.6915, 7891.370
641.1736, 7850.126
641.6558, 7786.632
642.1379, 7740.269
642.6200, 7715.577
643.1021, 7688.775
643.5842, 7657.958
644.0663, 7617.456
644.5485, 7559.142
645.0306, 7483.594
645.5127, 7410.565
645.9948, 7347.110
646.4769, 7286.701
646.9590, 7227.803
647.4412, 7168.073
647.9233, 7099.355
648.4054, 7018.699
648.8875, 6939.281
649.3696, 6883.352
649.8517, 6858.749
650.3339, 6818.998
650.8160, 6751.103
651.2981, 6683.346
651.7802, 6625.438
652.2623, 6572.778
652.7444, 6517.167
653.2266, 6455.271
653.7087, 6397.475
654.1908, 6357.747
654.6729, 6326.364
655.1550, 6275.431
