##NAMES=Ferronigerite-2N1S
##RRUFFID=R120083
##IDEAL CHEMISTRY=(Al,Fe^3+^,Zn^2+^)_2_(Al,Sn^4+^)_6_O_11_(OH)
##LOCALITY=Seixoso quarry, Lixa, Portugal
##OWNER=RRUFF
##SOURCE=Robert Jenkins
##DESCRIPTION=Dark reddish-brown hexagonal tablets, frozen in matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120083
3.895516e+002, 1.300713e+003
3.900338e+002, 1.300746e+003
3.905159e+002, 1.300282e+003
3.909980e+002, 1.300795e+003
3.914801e+002, 1.302695e+003
3.919622e+002, 1.305128e+003
3.924443e+002, 1.307298e+003
3.929265e+002, 1.309270e+003
3.934086e+002, 1.310330e+003
3.938907e+002, 1.309727e+003
3.943728e+002, 1.308762e+003
3.948549e+002, 1.308008e+003
3.953370e+002, 1.307522e+003
3.958192e+002, 1.307344e+003
3.963013e+002, 1.307498e+003
3.967834e+002, 1.307984e+003
3.972655e+002, 1.308699e+003
3.977476e+002, 1.309425e+003
3.982297e+002, 1.310949e+003
3.987119e+002, 1.314480e+003
3.991940e+002, 1.318811e+003
3.996761e+002, 1.322342e+003
4.001582e+002, 1.324461e+003
4.006403e+002, 1.326141e+003
4.011224e+002, 1.328666e+003
4.016046e+002, 1.331945e+003
4.020867e+002, 1.334038e+003
4.025688e+002, 1.333803e+003
4.030509e+002, 1.332727e+003
4.035330e+002, 1.332484e+003
4.040151e+002, 1.333061e+003
4.044973e+002, 1.334180e+003
4.049794e+002, 1.336160e+003
4.054615e+002, 1.338479e+003
4.059436e+002, 1.340201e+003
4.064257e+002, 1.341177e+003
4.069078e+002, 1.341856e+003
4.073900e+002, 1.342592e+003
4.078721e+002, 1.343325e+003
4.083542e+002, 1.343789e+003
4.088363e+002, 1.343021e+003
4.093184e+002, 1.342834e+003
4.098005e+002, 1.344879e+003
4.102827e+002, 1.348599e+003
4.107648e+002, 1.352023e+003
4.112469e+002, 1.354261e+003
4.117290e+002, 1.355762e+003
4.122111e+002, 1.357508e+003
4.126932e+002, 1.359616e+003
4.131754e+002, 1.361619e+003
4.136575e+002, 1.363031e+003
4.141396e+002, 1.364506e+003
4.146217e+002, 1.366985e+003
4.151038e+002, 1.370530e+003
4.155859e+002, 1.374154e+003
4.160681e+002, 1.376994e+003
4.165502e+002, 1.379056e+003
4.170323e+002, 1.379836e+003
4.175144e+002, 1.377573e+003
4.179965e+002, 1.376061e+003
4.184786e+002, 1.377306e+003
4.189608e+002, 1.380377e+003
4.194429e+002, 1.383362e+003
4.199250e+002, 1.385268e+003
4.204071e+002, 1.386537e+003
4.208892e+002, 1.388414e+003
4.213713e+002, 1.391598e+003
4.218535e+002, 1.394338e+003
4.223356e+002, 1.396481e+003
4.228177e+002, 1.398289e+003
4.232998e+002, 1.399878e+003
4.237819e+002, 1.401316e+003
4.242640e+002, 1.402708e+003
4.247462e+002, 1.404265e+003
4.252283e+002, 1.406059e+003
4.257104e+002, 1.406997e+003
4.261925e+002, 1.405436e+003
4.266746e+002, 1.404812e+003
4.271567e+002, 1.406725e+003
4.276389e+002, 1.410064e+003
4.281210e+002, 1.413044e+003
4.286031e+002, 1.414776e+003
4.290852e+002, 1.415891e+003
4.295673e+002, 1.417717e+003
4.300494e+002, 1.420519e+003
4.305316e+002, 1.423089e+003
4.310137e+002, 1.424181e+003
4.314958e+002, 1.425625e+003
4.319779e+002, 1.429289e+003
4.324600e+002, 1.435030e+003
4.329421e+002, 1.440047e+003
4.334243e+002, 1.441399e+003
4.339064e+002, 1.440086e+003
4.343885e+002, 1.440516e+003
4.348706e+002, 1.443252e+003
4.353527e+002, 1.446916e+003
4.358348e+002, 1.451189e+003
4.363170e+002, 1.455702e+003
4.367991e+002, 1.459857e+003
4.372812e+002, 1.463388e+003
4.377633e+002, 1.466656e+003
4.382454e+002, 1.469644e+003
4.387275e+002, 1.472503e+003
4.392097e+002, 1.476298e+003
4.396918e+002, 1.481599e+003
4.401739e+002, 1.487665e+003
4.406560e+002, 1.493169e+003
4.411381e+002, 1.497964e+003
