##NAMES=Wagnerite
##RRUFFID=R050519
##IDEAL CHEMISTRY=Mg_2_PO_4_F
##LOCALITY=Kjorrestad, near Bamle, Norway
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Pale yellow lamellar fragments, associated with isokite, R070526.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R050519
##MEASURED CHEMISTRY=Mg_2.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_ ; = gray phase, and the light phase is isokite: Ca_1.00_Mg_1.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_
514.2244, 322.5428
514.7065, 322.3871
515.1887, 321.6111
515.6708, 320.4963
516.1529, 318.9943
516.6350, 317.1376
517.1171, 315.7725
517.5992, 315.7820
518.0814, 316.0069
518.5635, 315.6725
519.0456, 314.2024
519.5277, 312.9629
520.0098, 312.0050
520.4919, 311.3194
520.9741, 310.9130
521.4562, 310.8557
521.9383, 310.9732
522.4204, 311.4060
522.9025, 312.0092
523.3846, 311.7296
523.8668, 310.3712
524.3489, 308.9456
524.8310, 307.9875
525.3131, 307.4824
525.7952, 307.4648
526.2773, 308.0142
526.7595, 308.5761
527.2416, 308.3890
527.7237, 307.7111
528.2058, 307.2035
528.6879, 307.1277
529.1700, 307.2225
529.6522, 307.2985
530.1343, 307.3502
530.6164, 307.3587
531.0985, 307.2780
531.5806, 307.1842
532.0627, 307.1412
532.5449, 307.1604
533.0270, 307.1288
533.5091, 306.8450
533.9912, 306.6043
534.4733, 306.6213
534.9554, 307.2191
535.4376, 307.6370
535.9197, 307.8260
536.4018, 307.8505
536.8839, 307.7879
537.3660, 307.5608
537.8481, 307.4590
538.3303, 307.6455
538.8124, 308.0166
539.2945, 307.8953
539.7766, 307.2035
540.2587, 306.6857
540.7408, 307.1368
541.2230, 308.2222
541.7051, 308.5178
542.1872, 307.8304
542.6693, 307.1679
543.1514, 307.7650
543.6335, 309.0667
