##NAMES=Euxenite-(Y)
##RRUFFID=R080101
##IDEAL CHEMISTRY=(Y^3+^,Ca,Ce^3+^,U^4+^,Th^4+^)(Nb^5+^,Ta^5+^,Ti^4+^)_2_O_6_
##LOCALITY=Betafo, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Khaki colored fragment from metamict sample R060856, after heating at T = 1000 C for 24 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080101
532.0275, 6493.862
532.5096, 6476.732
532.9918, 6458.377
533.4739, 6437.965
533.9560, 6417.751
534.4381, 6397.929
534.9202, 6378.672
535.4023, 6360.431
535.8845, 6343.189
536.3666, 6325.958
536.8487, 6307.935
537.3308, 6289.079
537.8129, 6269.499
538.2950, 6249.141
538.7772, 6227.962
539.2593, 6204.184
539.7414, 6180.550
540.2235, 6160.213
540.7056, 6143.984
541.1877, 6129.565
541.6699, 6115.600
542.1520, 6101.794
542.6341, 6085.714
543.1162, 6066.871
543.5983, 6046.585
544.0804, 6024.456
544.5626, 6001.811
545.0447, 5981.317
545.5268, 5964.344
546.0089, 5947.720
546.4910, 5929.491
546.9731, 5910.248
547.4553, 5891.106
547.9374, 5872.141
548.4195, 5853.761
548.9016, 5836.427
549.3837, 5820.111
549.8658, 5803.571
550.3480, 5785.361
550.8301, 5768.600
551.3122, 5755.058
551.7943, 5743.086
552.2764, 5731.117
552.7585, 5718.560
553.2407, 5704.776
553.7228, 5688.339
554.2049, 5668.913
554.6870, 5653.292
555.1691, 5645.789
555.6512, 5635.919
556.1334, 5617.001
556.6155, 5595.053
557.0976, 5578.180
557.5797, 5568.962
558.0618, 5561.529
558.5439, 5550.550
559.0261, 5536.974
559.5082, 5524.160
559.9903, 5512.695
560.4724, 5501.626
560.9545, 5490.332
561.4366, 5478.861
561.9188, 5467.322
562.4009, 5455.289
562.8830, 5443.801
563.3651, 5433.085
563.8472, 5423.182
564.3293, 5414.273
564.8115, 5406.341
565.2936, 5398.896
565.7757, 5391.431
566.2578, 5383.927
566.7399, 5377.142
567.2220, 5372.788
567.7042, 5367.059
568.1863, 5357.155
568.6684, 5346.805
569.1505, 5340.480
569.6326, 5338.856
570.1147, 5337.950
570.5969, 5333.528
571.0790, 5326.251
571.5611, 5320.519
572.0432, 5316.824
572.5253, 5313.321
573.0074, 5308.965
573.4896, 5304.280
573.9717, 5300.127
574.4538, 5296.869
574.9359, 5293.161
575.4180, 5287.099
575.9001, 5280.818
576.3823, 5277.996
576.8644, 5278.731
577.3465, 5279.153
577.8286, 5276.024
578.3107, 5270.714
578.7928, 5269.945
579.2750, 5281.227
579.7571, 5287.169
580.2392, 5283.256
580.7213, 5276.342
581.2034, 5271.020
581.6855, 5267.960
582.1677, 5266.051
582.6498, 5264.700
583.1319, 5263.614
583.6140, 5261.875
584.0961, 5259.407
584.5782, 5256.415
585.0604, 5251.817
585.5425, 5247.630
586.0246, 5245.789
586.5067, 5246.204
586.9889, 5246.977
587.4710, 5248.854
587.9531, 5249.696
588.4352, 5246.458
588.9174, 5239.648
589.3995, 5231.962
589.8816, 5224.254
590.3637, 5217.251
590.8458, 5212.353
591.3279, 5210.797
591.8101, 5207.799
592.2922, 5203.739
592.7743, 5197.851
593.2564, 5188.446
593.7385, 5177.123
594.2206, 5167.108
594.7028, 5159.926
595.1849, 5153.481
595.6670, 5143.951
596.1491, 5130.740
596.6312, 5118.963
597.1133, 5110.068
597.5955, 5101.062
598.0776, 5089.737
598.5597, 5077.294
599.0418, 5066.282
599.5239, 5058.266
600.0060, 5049.713
600.4882, 5037.141
600.9703, 5021.987
601.4524, 5007.699
601.9345, 4994.994
602.4166, 4982.402
602.8987, 4968.750
603.3809, 4954.057
603.8630, 4939.618
604.3451, 4923.694
604.8272, 4910.052
605.3093, 4902.273
605.7914, 4895.279
606.2736, 4883.500
606.7557, 4866.678
607.2378, 4848.953
607.7199, 4833.843
608.2020, 4820.667
608.6841, 4805.994
609.1663, 4788.986
609.6484, 4772.998
610.1305, 4759.808
610.6126, 4747.497
611.0947, 4734.411
611.5768, 4720.517
612.0590, 4706.907
612.5411, 4694.651
613.0232, 4682.407
613.5053, 4668.542
613.9874, 4653.284
614.4695, 4637.036
614.9517, 4619.425
615.4338, 4602.926
615.9159, 4591.900
616.3980, 4589.096
616.8801, 4582.418
617.3622, 4568.490
617.8444, 4554.609
618.3265, 4545.061
618.8086, 4537.167
619.2907, 4526.088
619.7728, 4510.047
620.2549, 4492.884
620.7371, 4479.470
621.2192, 4469.664
621.7013, 4460.593
622.1834, 4452.800
622.6655, 4444.158
623.1476, 4432.506
623.6298, 4419.505
624.1119, 4408.112
624.5940, 4399.203
625.0761, 4389.939
625.5582, 4378.693
626.0403, 4366.668
626.5225, 4356.260
627.0046, 4347.106
627.4867, 4335.701
627.9688, 4319.278
628.4509, 4299.869
628.9330, 4283.771
629.4152, 4272.582
629.8973, 4262.106
630.3794, 4253.458
