##NAMES=Diamond
##RRUFFID=R050204
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal, type IIA
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050204
1140.298, 8429.000
1141.526, 8553.000
1142.755, 8395.000
1143.983, 8520.000
1145.210, 8441.000
1146.438, 8454.000
1147.665, 8505.000
1148.893, 8567.000
1150.120, 8494.000
1151.347, 8601.000
1152.573, 8623.000
1153.800, 8640.000
1155.026, 8571.000
1156.252, 8604.000
1157.478, 8596.000
1158.704, 8634.000
1159.929, 8629.000
1161.155, 8697.000
1162.380, 8567.000
1163.605, 8621.000
1164.829, 8655.000
1166.054, 8688.000
1167.278, 8817.000
1168.503, 8663.000
1169.727, 8861.000
1170.950, 8780.000
1172.174, 8786.000
1173.397, 8774.000
1174.621, 8697.000
1175.844, 8798.000
1177.066, 8781.000
1178.289, 8729.000
1179.512, 8894.000
1180.734, 9008.000
1181.956, 8924.000
1183.178, 8852.000
1184.399, 8954.000
1185.621, 8940.000
1186.842, 8975.000
1188.063, 8949.000
1189.284, 8885.000
1190.505, 8947.000
1191.726, 9116.000
1192.946, 8969.000
1194.166, 9047.000
1195.386, 9046.000
1196.606, 8992.000
1197.826, 9100.000
1199.045, 9074.000
1200.264, 9012.000
1201.483, 9126.000
1202.702, 9129.000
1203.921, 9128.000
1205.139, 9126.000
1206.357, 9083.000
1207.575, 9145.000
1208.793, 9219.000
1210.011, 9268.000
1211.228, 9138.000
1212.446, 9111.000
1213.663, 9196.000
1214.880, 9247.000
1216.097, 9289.000
1217.313, 9292.000
1218.529, 9237.000
1219.746, 9248.000
1220.962, 9344.000
1222.177, 9198.000
1223.393, 9347.000
1224.608, 9437.000
1225.824, 9209.000
1227.039, 9376.000
1228.254, 9435.000
1229.468, 9445.000
1230.683, 9430.000
1231.897, 9499.000
1233.111, 9350.000
1234.325, 9451.000
1235.539, 9329.000
1236.752, 9497.000
1237.965, 9495.000
1239.179, 9538.000
1240.392, 9503.000
1241.604, 9549.681
1242.817, 9587.000
1244.029, 9600.000
1245.241, 9605.000
1246.453, 9593.000
1247.665, 9618.931
1248.877, 9604.894
1250.088, 9606.346
1251.300, 9598.000
1252.511, 9590.000
1253.722, 9597.000
1254.932, 9605.186
1256.143, 9604.802
1257.353, 9651.933
1258.563, 9687.000
1259.773, 9744.000
1260.983, 9835.000
1262.192, 9791.000
1263.402, 9900.000
1264.611, 9827.000
1265.820, 9880.000
1267.029, 9817.000
1268.237, 9709.000
1269.446, 9878.000
1270.654, 9827.000
1271.862, 9899.000
1273.070, 9768.000
1274.278, 9856.000
1275.485, 9933.000
1276.692, 9877.000
1277.900, 9818.000
1279.106, 9904.000
1280.313, 9879.000
1281.520, 9924.000
1282.726, 9956.000
1283.932, 9972.000
1285.138, 10060.00
1286.344, 10020.00
1287.550, 10040.00
1288.755, 10130.00
1289.960, 10100.00
1291.165, 10190.00
1292.370, 10220.00
1293.575, 10130.00
1294.779, 10050.00
1295.984, 10120.00
1297.188, 10190.00
1298.392, 10130.00
1299.595, 10110.00
1300.799, 10000.00
1302.002, 10060.51
1303.206, 10180.00
1304.409, 10180.00
1305.611, 10250.00
1306.814, 10350.00
1308.016, 10440.00
1309.219, 10420.00
1310.421, 10550.00
1311.623, 10600.00
1312.824, 10600.00
1314.026, 10540.00
1315.227, 10690.00
1316.428, 10630.00
1317.629, 10640.00
1318.830, 10850.00
1320.031, 10820.00
1321.231, 10860.00
1322.431, 11130.00
1323.631, 11320.00
1324.831, 11510.00
1326.031, 11940.00
1327.230, 12860.00
1328.429, 14800.00
1329.628, 21590.00
1330.827, 39510.00
1332.026, 53460.00
1333.225, 42530.00
1334.423, 25210.00
1335.621, 16610.00
1336.819, 13430.00
1338.017, 12400.00
1339.214, 11740.00
1340.412, 11500.00
1341.609, 11400.00
1342.806, 11170.00
1344.003, 11180.00
1345.200, 11230.00
1346.396, 11220.00
1347.592, 11300.00
1348.788, 11280.00
1349.984, 11260.00
1351.180, 11390.00
1352.376, 11080.00
1353.571, 11300.00
1354.766, 11270.00
1355.961, 11270.00
1357.156, 11460.00
1358.351, 11290.00
1359.545, 11340.00
1360.739, 11340.00
1361.933, 11390.00
1363.127, 11420.00
1364.321, 11330.00
1365.515, 11300.00
1366.708, 11530.00
1367.901, 11460.00
1369.094, 11450.00
1370.287, 11470.00
1371.479, 11460.00
1372.672, 11466.97
1373.864, 11610.00
1375.056, 11490.00
1376.248, 11580.00
1377.440, 11630.00
1378.631, 11570.00
1379.822, 11700.00
1381.014, 11770.00
1382.205, 11650.00
1383.395, 11660.00
1384.586, 11580.00
1385.776, 11690.00
1386.966, 11760.00
1388.157, 11660.00
1389.346, 11710.00
1390.536, 11790.00
1391.725, 11810.00
1392.915, 11840.00
1394.104, 11760.00
1395.293, 11950.00
1396.482, 11890.00
1397.670, 12010.00
1398.858, 11840.00
1400.047, 11960.00
1401.235, 11880.00
1402.422, 12010.00
1403.610, 12070.00
1404.798, 12090.00
1405.985, 12142.12
1407.172, 12070.00
1408.359, 12180.00
1409.546, 12140.00
1410.732, 12180.00
1411.918, 12230.00
1413.105, 12230.00
1414.291, 12260.00
1415.476, 12350.00
1416.662, 12350.00
1417.848, 12280.00
1419.033, 12440.00
1420.218, 12360.00
1421.403, 12370.00
1422.587, 12560.00
1423.772, 12500.00
1424.956, 12450.00
1426.140, 12500.00
1427.324, 12460.00
1428.508, 12520.00
1429.692, 12660.00
1430.875, 12520.00
1432.059, 12780.00
1433.242, 12620.00
1434.425, 12700.00
1435.607, 12980.00
1436.790, 12750.00
1437.972, 12940.00
1439.154, 13000.00
1440.336, 12700.00
1441.518, 13060.00
1442.700, 13090.00
1443.881, 12940.00
1445.062, 13340.00
1446.243, 13110.00
1447.424, 13160.00
1448.605, 13290.00
1449.786, 13260.00
1450.966, 13310.00
1452.146, 13290.00
1453.326, 13250.00
1454.506, 13490.00
1455.685, 13460.00
1456.865, 13532.88
1458.044, 13690.00
1459.223, 13600.00
1460.402, 13480.00
1461.581, 13450.00
1462.759, 13690.00
1463.938, 13540.00
1465.116, 13750.00
1466.294, 13670.00
1467.472, 13800.00
1468.649, 13870.00
1469.827, 13500.00
1471.004, 13920.00
1472.181, 13800.00
1473.358, 13760.00
1474.535, 13910.00
1475.711, 13940.00
1476.887, 13610.00
1478.064, 13920.00
1479.240, 13860.00
1480.415, 13820.00
1481.591, 13990.00
1482.767, 13800.00
1483.942, 14120.00
1485.117, 14190.00
1486.292, 13990.00
1487.467, 14020.00
1488.641, 14110.00
1489.815, 13940.00
1490.990, 14210.00
1492.164, 13810.00
1493.337, 14170.00
1494.511, 14150.00
1495.685, 13950.00
1496.858, 14220.00
1498.031, 14370.00
1499.204, 13890.00
1500.377, 14400.00
1501.549, 14160.00
1502.722, 14440.00
1503.894, 14630.00
1505.066, 14440.00
1506.238, 14410.00
1507.409, 14640.00
1508.581, 14370.00
1509.752, 14550.00
1510.923, 14490.00
1512.094, 14380.00
1513.265, 14740.00
1514.436, 14570.00
1515.606, 14360.00
1516.776, 14780.00
1517.946, 14450.00
##END=



