##NAMES=Creaseyite
##RRUFFID=R140557
##IDEAL CHEMISTRY=Cu^2+^_2_Pb^2+^_2_Fe^3+^_2_Si_5_O_17_&#183;6H_2_O
##LOCALITY=Evening Star mine, Tiger Wash, Belmont Mountain, Tonopah, Osborn District, Big Horn Mts, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Ron Gibbs
##DESCRIPTION=Radiating aggregate of acicular pale-green crystals, associated with prismatic yellow hedyphane.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140557
4.200331e+002, 3.609276e+003
4.205152e+002, 3.622828e+003
4.209973e+002, 3.639118e+003
4.214795e+002, 3.656045e+003
4.219616e+002, 3.667552e+003
4.224437e+002, 3.666820e+003
4.229258e+002, 3.665123e+003
4.234079e+002, 3.667903e+003
4.238900e+002, 3.677749e+003
4.243722e+002, 3.684362e+003
4.248543e+002, 3.684681e+003
4.253364e+002, 3.682628e+003
4.258185e+002, 3.681997e+003
4.263006e+002, 3.683768e+003
4.267827e+002, 3.685649e+003
4.272649e+002, 3.687847e+003
4.277470e+002, 3.690057e+003
4.282291e+002, 3.690140e+003
4.287112e+002, 3.687271e+003
4.291933e+002, 3.683632e+003
4.296754e+002, 3.680129e+003
