##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
542.8591, 588.4947
543.3412, 592.4288
543.8234, 595.8234
544.3055, 596.1362
544.7876, 595.5562
545.2697, 596.2148
545.7518, 598.3841
546.2339, 600.8032
546.7161, 603.1415
547.1982, 605.2910
547.6803, 607.1898
548.1624, 607.5030
548.6445, 609.2353
549.1266, 614.2095
549.6088, 620.6863
550.0909, 625.0963
550.5730, 626.2214
551.0551, 627.2428
551.5372, 628.6888
552.0193, 630.6403
552.5015, 633.8994
552.9836, 638.5911
553.4657, 644.1574
553.9478, 650.5638
554.4299, 657.6903
554.9120, 664.1854
555.3942, 669.7809
555.8763, 675.4122
556.3584, 681.9872
556.8405, 689.3994
557.3226, 697.4101
557.8047, 706.0469
558.2869, 715.1428
558.7690, 724.0948
559.2511, 733.3684
559.7332, 744.0709
560.2154, 757.9313
560.6975, 772.2979
561.1796, 785.8790
561.6617, 798.5903
562.1439, 811.5594
562.6260, 825.2288
563.1081, 839.0482
563.5902, 852.7867
564.0723, 865.3434
564.5544, 880.3894
565.0366, 898.9838
565.5187, 919.2175
566.0008, 937.9442
566.4829, 954.7745
566.9650, 973.1385
567.4471, 993.6733
567.9293, 1016.288
568.4114, 1040.537
568.8935, 1066.424
569.3756, 1092.942
569.8577, 1119.338
570.3398, 1146.011
570.8220, 1172.786
571.3041, 1199.968
571.7862, 1226.839
572.2683, 1254.040
572.7504, 1280.368
573.2325, 1305.309
573.7147, 1329.161
574.1968, 1350.026
574.6789, 1368.760
575.1610, 1383.562
575.6431, 1392.305
576.1252, 1394.261
576.6074, 1390.298
577.0895, 1380.606
577.5716, 1365.159
578.0537, 1343.021
578.5358, 1311.840
579.0179, 1279.337
579.5001, 1247.734
579.9822, 1216.948
580.4643, 1189.765
580.9464, 1166.063
581.4285, 1146.798
581.9106, 1133.190
582.3928, 1124.584
582.8749, 1118.893
583.3570, 1115.847
583.8391, 1115.322
584.3212, 1116.875
584.8033, 1120.920
585.2855, 1128.185
585.7676, 1140.659
586.2497, 1154.557
586.7318, 1169.237
587.2139, 1184.058
587.6960, 1197.186
588.1782, 1209.914
588.6603, 1219.157
589.1424, 1224.005
589.6245, 1224.580
590.1066, 1220.567
590.5887, 1212.257
591.0709, 1198.961
591.5530, 1179.197
592.0351, 1152.053
592.5172, 1125.290
592.9993, 1099.388
593.4814, 1073.196
593.9636, 1045.199
594.4457, 1015.765
594.9278, 985.2571
595.4099, 953.2917
595.8920, 921.1638
596.3741, 889.9268
596.8563, 860.0392
597.3384, 832.9424
597.8205, 810.5074
598.3026, 790.3915
598.7847, 771.4532
599.2668, 753.6348
599.7490, 737.6248
600.2311, 725.2845
600.7132, 713.4634
601.1953, 699.8367
601.6774, 682.5200
602.1595, 669.4527
602.6417, 661.5948
603.1238, 656.5439
603.6059, 652.5125
604.0880, 649.6627
604.5701, 646.6071
605.0522, 643.0166
605.5344, 639.5326
606.0165, 637.7948
606.4986, 637.4728
606.9807, 636.4080
607.4628, 632.7621
607.9449, 628.9849
608.4271, 628.8904
608.9092, 631.8121
609.3913, 635.1259
609.8735, 637.3469
610.3556, 639.4758
610.8377, 641.9335
611.3198, 644.7318
611.8019, 648.7402
612.2841, 654.0206
612.7662, 660.7249
613.2483, 669.3234
613.7304, 681.0398
614.2125, 691.2783
614.6946, 699.3702
615.1768, 706.8085
615.6589, 715.3622
616.1410, 725.2122
616.6231, 735.3438
617.1052, 745.4753
617.5873, 755.9813
618.0695, 766.7519
618.5516, 778.0519
619.0337, 791.1447
619.5158, 806.2972
619.9979, 823.7875
620.4800, 844.4044
620.9622, 867.8458
621.4443, 891.8806
621.9264, 916.1901
622.4085, 940.2185
622.8906, 963.2785
623.3727, 984.7466
623.8549, 1008.535
624.3370, 1039.410
