##NAMES=Arseniosiderite
##RRUFFID=R150061
##IDEAL CHEMISTRY=Ca_2_Fe^3+^_3_O_2_(As^5+^O_4_)_3_&#183;3H_2_O
##LOCALITY=Las Animas mine, La Mur, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Dark red platy crystals, associated with bright red granular or prismatic sewardite (R060720)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150061
575.1944, 728.7471
575.6765, 729.2723
576.1586, 731.5512
576.6407, 732.5409
577.1229, 731.3652
577.6050, 730.8913
578.0871, 732.5197
578.5692, 734.1298
579.0513, 729.7908
579.5334, 718.1278
580.0156, 709.4692
580.4977, 708.5363
580.9798, 713.1945
581.4619, 716.8897
581.9440, 719.5969
582.4261, 720.7952
582.9083, 718.0477
583.3904, 714.1570
583.8725, 714.1884
584.3546, 719.4289
584.8367, 724.4185
585.3188, 725.6420
585.8010, 724.3794
586.2831, 722.2565
586.7652, 716.9512
587.2473, 713.9404
587.7294, 717.0402
588.2115, 723.8634
588.6937, 726.3517
589.1758, 720.0947
589.6579, 714.8044
590.1400, 713.9843
590.6221, 717.7902
591.1042, 718.8037
591.5864, 716.3716
592.0685, 712.8927
592.5506, 709.9510
593.0327, 707.5512
593.5148, 705.7610
593.9969, 704.6478
594.4791, 703.9205
594.9612, 702.6386
595.4433, 701.4165
595.9254, 701.9650
596.4075, 706.3022
596.8896, 711.1201
597.3718, 713.6165
597.8539, 714.2461
598.3360, 714.3976
598.8181, 712.8564
599.3002, 712.5193
599.7823, 717.1456
600.2645, 728.7027
600.7466, 730.8518
601.2287, 710.8455
601.7108, 691.2109
602.1929, 688.1606
602.6750, 711.0743
603.1572, 723.1185
603.6393, 719.8260
604.1214, 709.9380
604.6035, 706.6365
605.0856, 709.9297
605.5677, 714.2088
606.0499, 718.4611
606.5320, 722.1057
607.0141, 723.8984
607.4962, 724.0371
607.9783, 723.5228
608.4604, 722.9079
608.9425, 721.9365
609.4246, 719.7212
609.9067, 716.1748
610.3889, 714.2887
610.8710, 717.7196
611.3531, 721.8789
611.8352, 723.1642
612.3173, 717.7780
612.7994, 715.0861
613.2816, 715.5903
613.7637, 718.8661
614.2458, 725.6932
614.7279, 739.7266
615.2100, 745.6936
615.6921, 737.0935
616.1743, 720.6691
616.6564, 719.4938
617.1385, 733.6677
617.6206, 744.8555
618.1027, 739.2544
618.5848, 724.7789
619.0670, 717.6278
619.5491, 717.8463
620.0312, 720.4734
620.5133, 723.8649
620.9954, 726.8875
621.4775, 728.1862
621.9597, 726.8992
622.4418, 725.6903
622.9239, 723.4844
623.4060, 722.6068
