##NAMES=Sahamalite-(Ce)
##RRUFFID=R080043
##IDEAL CHEMISTRY=Ce_2_Mg(CO_3_)_4_
##LOCALITY=Mountain Pass Mine (Sulfide Queen mine; Bastnaesite deposit; Mountain Pass carbonatite), Ivanpah, Mountain Pass District, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dull white, semitransparent flat crystal associated with dolomite.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080043
550.1820, 25.82849
550.6641, 25.85696
551.1462, 25.87126
551.6284, 25.89499
552.1105, 25.94631
552.5926, 25.98686
553.0747, 25.99731
553.5568, 25.98874
554.0389, 25.97752
554.5211, 25.96786
555.0032, 25.95690
555.4853, 25.94865
555.9674, 25.95007
556.4495, 25.87152
556.9316, 25.54658
557.4138, 25.32842
557.8959, 25.37370
558.3780, 25.53589
558.8601, 25.63955
559.3422, 25.63296
559.8243, 25.58788
560.3065, 25.59583
560.7886, 25.65036
561.2707, 25.64052
561.7528, 25.52604
562.2349, 25.41797
562.7170, 25.39213
563.1992, 25.41577
563.6813, 25.44375
564.1634, 25.47113
564.6455, 25.49676
565.1276, 25.54840
565.6097, 25.59128
566.0919, 25.53148
566.5740, 25.35153
567.0561, 25.17824
567.5382, 25.12713
568.0203, 25.19210
568.5024, 25.22742
568.9846, 25.25089
569.4667, 25.22727
569.9488, 25.08690
570.4309, 24.92883
570.9130, 24.86048
571.3951, 24.90055
571.8773, 25.00166
572.3594, 25.14066
572.8415, 25.30828
573.3236, 25.34671
573.8057, 25.18859
574.2878, 25.02019
574.7700, 24.88840
575.2521, 24.78319
575.7342, 24.70309
576.2163, 24.64793
576.6984, 24.59699
577.1805, 24.52928
577.6627, 24.45769
578.1448, 24.41849
578.6269, 24.41658
579.1090, 24.40069
579.5911, 24.34522
580.0732, 24.25209
580.5554, 24.11071
581.0375, 23.84327
581.5196, 23.69552
582.0017, 23.80147
582.4838, 23.98583
582.9659, 24.10436
583.4481, 24.14630
583.9302, 24.16484
584.4123, 24.20047
584.8944, 24.23187
585.3765, 24.16985
585.8586, 23.94211
586.3408, 23.77233
586.8229, 23.70712
587.3050, 23.68787
587.7871, 23.70216
588.2692, 23.73442
588.7513, 23.74225
589.2334, 23.67935
589.7155, 23.59981
590.1976, 23.62886
590.6797, 23.76254
591.1619, 23.78107
591.6440, 23.55840
592.1261, 23.28306
592.6082, 23.21362
593.0903, 23.34591
593.5724, 23.48606
594.0546, 23.69388
594.5367, 23.82162
595.0188, 23.70693
595.5009, 23.45102
595.9830, 23.25859
596.4651, 23.20905
596.9473, 23.27646
597.4294, 23.44377
597.9115, 23.75539
598.3936, 23.94808
598.8757, 23.87704
599.3578, 23.83553
599.8400, 23.96568
600.3221, 24.15692
600.8042, 24.24393
601.2863, 24.17042
601.7684, 24.04753
602.2505, 23.95040
602.7327, 23.89340
603.2148, 23.96443
603.6969, 24.20011
604.1790, 24.45115
604.6611, 24.62520
605.1432, 24.73791
605.6254, 24.84646
606.1075, 24.90754
606.5896, 25.04412
607.0717, 25.41066
607.5538, 25.80243
608.0359, 25.94814
608.5181, 25.86113
609.0002, 25.78939
609.4823, 25.92192
609.9644, 26.20453
610.4465, 26.39609
610.9286, 26.41286
611.4108, 26.50181
611.8929, 26.63374
612.3750, 26.88659
612.8571, 27.39956
613.3392, 28.09418
613.8214, 28.71044
614.3035, 29.09061
614.7856, 29.33123
615.2677, 29.58288
615.7498, 29.83877
616.2319, 30.00474
616.7141, 30.05037
617.1962, 30.00667
617.6783, 29.92657
618.1604, 29.80874
618.6425, 29.51562
619.1246, 28.91561
619.6068, 28.27468
620.0889, 27.63459
620.5710, 27.05799
621.0531, 26.65698
621.5352, 26.45009
622.0173, 26.31044
622.4995, 26.09667
622.9816, 25.80876
623.4637, 25.51855
623.9458, 25.15815
624.4279, 24.90912
624.9100, 24.89098
625.3922, 24.96063
625.8743, 24.98412
626.3564, 24.94184
626.8385, 24.88254
627.3206, 24.83881
627.8027, 24.79654
628.2849, 24.72842
628.7670, 24.63547
629.2491, 24.53711
629.7312, 24.43864
630.2133, 24.34908
630.6954, 24.28502
631.1776, 24.24500
631.6597, 24.24104
632.1418, 24.34848
632.6239, 24.41828
633.1060, 24.34745
633.5881, 24.18530
634.0703, 24.01513
634.5524, 23.87257
635.0345, 23.77283
635.5166, 23.73733
635.9987, 23.76661
636.4808, 23.86237
636.9630, 24.10540
637.4451, 24.26794
637.9272, 24.13630
638.4093, 23.87226
638.8914, 23.70158
639.3735, 23.65392
639.8557, 23.68855
640.3378, 23.81299
640.8199, 23.99300
641.3020, 24.18444
641.7841, 24.38459
642.2662, 24.61983
642.7484, 24.91490
643.2305, 25.23108
643.7126, 25.45859
644.1947, 25.59335
644.6768, 25.64092
645.1589, 25.52896
645.6411, 25.41048
646.1232, 25.36861
646.6053, 25.38025
647.0874, 25.40121
647.5695, 25.42812
648.0516, 25.39129
648.5338, 25.18194
649.0159, 24.82315
649.4980, 24.44663
649.9801, 24.05977
650.4622, 23.68804
650.9443, 23.31644
651.4265, 22.97791
651.9086, 22.80694
652.3907, 22.97113
652.8728, 23.02888
653.3549, 22.81668
653.8370, 22.50236
654.3192, 22.20909
654.8013, 21.96160
655.2834, 21.75578
655.7655, 21.58488
656.2476, 21.46752
656.7297, 21.47659
657.2119, 21.65542
657.6940, 21.76077
658.1761, 21.71039
658.6582, 21.63473
659.1403, 21.63225
659.6224, 21.67170
660.1046, 21.67390
660.5867, 21.61152
661.0688, 21.51983
661.5509, 21.36267
662.0330, 21.21058
662.5151, 21.23218
662.9973, 21.44040
663.4794, 21.63854
663.9615, 21.66404
664.4436, 21.55936
664.9257, 21.54793
665.4078, 21.77188
665.8900, 21.85233
666.3721, 21.67520
