##NAMES=Chrysoberyl
##RRUFFID=X080002
##IDEAL CHEMISTRY=BeAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted purple alexandrite gemstone, 7.35 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080002
576.3823, 377.9795
576.8644, 376.7158
577.3465, 375.4289
577.8286, 374.6545
578.3107, 374.3729
578.7928, 374.4906
579.2750, 376.2009
579.7571, 376.7128
580.2392, 374.5602
580.7213, 372.1327
581.2034, 371.5015
581.6855, 372.5589
582.1677, 373.7278
582.6498, 373.8879
583.1319, 373.1938
583.6140, 371.9843
584.0961, 369.9077
584.5782, 368.5143
585.0604, 368.6599
585.5425, 369.3393
586.0246, 369.7627
586.5067, 369.9161
586.9889, 370.0268
587.4710, 370.5191
587.9531, 370.8113
588.4352, 369.7840
588.9174, 367.7421
589.3995, 366.5964
589.8816, 367.3452
590.3637, 368.8903
590.8458, 369.3016
591.3279, 368.0143
591.8101, 367.1448
592.2922, 367.0975
592.7743, 367.0575
593.2564, 366.5822
593.7385, 365.7912
594.2206, 364.8470
594.7028, 363.8199
595.1849, 363.0609
595.6670, 363.3946
596.1491, 365.0603
596.6312, 366.0188
597.1133, 365.8973
597.5955, 365.3437
598.0776, 364.6119
598.5597, 363.7664
599.0418, 362.9153
599.5239, 362.0508
600.0060, 361.2660
600.4882, 360.5645
600.9703, 360.0062
601.4524, 359.8055
601.9345, 360.0175
602.4166, 360.2826
602.8987, 360.3068
603.3809, 360.0973
603.8630, 359.7649
604.3451, 359.0803
604.8272, 358.5767
605.3093, 358.5204
605.7914, 358.5835
606.2736, 358.3341
606.7557, 357.7961
607.2378, 357.4781
607.7199, 357.9300
608.2020, 358.9115
608.6841, 359.2263
609.1663, 358.7664
609.6484, 357.9433
610.1305, 356.3141
610.6126, 354.7842
611.0947, 354.2641
611.5768, 354.7399
612.0590, 355.2188
612.5411, 355.3353
613.0232, 355.2055
613.5053, 354.8564
613.9874, 354.3516
614.4695, 353.9767
614.9517, 353.8708
615.4338, 353.8534
615.9159, 353.6398
616.3980, 353.2253
616.8801, 352.6035
617.3622, 351.3920
617.8444, 350.3920
618.3265, 350.1270
618.8086, 350.2356
619.2907, 350.0668
619.7728, 349.3893
620.2549, 348.7109
620.7371, 348.7853
621.2192, 349.5739
621.7013, 350.0758
622.1834, 350.0645
622.6655, 350.1743
623.1476, 351.1831
623.6298, 352.4100
624.1119, 352.5791
624.5940, 351.1404
625.0761, 350.0096
625.5582, 350.5831
626.0403, 351.6637
626.5225, 351.6269
627.0046, 350.4577
627.4867, 349.2098
627.9688, 348.5288
628.4509, 348.3169
628.9330, 348.2723
629.4152, 348.7207
629.8973, 348.7340
630.3794, 347.8518
630.8615, 346.9897
631.3436, 346.6474
631.8257, 346.7531
632.3079, 347.0627
632.7900, 347.5459
633.2721, 347.9464
633.7542, 347.8402
634.2363, 347.2785
634.7184, 346.6212
635.2006, 345.7695
635.6827, 345.3276
636.1648, 345.8797
636.6469, 347.3798
637.1290, 349.0948
637.6111, 351.3647
638.0933, 353.4201
638.5754, 354.9988
639.0575, 356.2197
639.5396, 357.2808
640.0217, 358.1671
640.5038, 358.6302
640.9860, 358.4262
641.4681, 357.6699
641.9502, 357.0213
642.4323, 356.8329
642.9144, 355.8574
643.3965, 352.6789
643.8787, 349.5252
644.3608, 348.0722
644.8429, 348.0914
645.3250, 348.1003
645.8071, 347.3791
646.2892, 346.4704
646.7714, 345.9635
647.2535, 345.7367
647.7356, 345.4685
648.2177, 345.0895
648.6998, 344.3764
649.1819, 342.9802
649.6641, 340.8364
650.1462, 339.3143
650.6283, 338.6714
651.1104, 338.2922
651.5925, 338.0124
652.0746, 337.9704
652.5568, 338.5717
653.0389, 339.7081
