##NAMES=Hydrotungstite
##RRUFFID=R120058
##IDEAL CHEMISTRY=W^6+^O_2_(OH)_2_&#183;H_2_O
##LOCALITY=Mundo Nuevo, La Libertad, Peru
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Greenish yellow cubes, associated with ferberite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120058
4.212242e+002, 3.631627e+002
4.217063e+002, 3.628249e+002
4.221884e+002, 3.628270e+002
4.226706e+002, 3.627256e+002
4.231527e+002, 3.624015e+002
4.236348e+002, 3.619037e+002
4.241169e+002, 3.613241e+002
4.245990e+002, 3.606196e+002
4.250811e+002, 3.598769e+002
4.255633e+002, 3.590230e+002
4.260454e+002, 3.579785e+002
4.265275e+002, 3.573572e+002
4.270096e+002, 3.574374e+002
4.274917e+002, 3.577026e+002
4.279738e+002, 3.577798e+002
4.284560e+002, 3.578369e+002
4.289381e+002, 3.572809e+002
4.294202e+002, 3.556921e+002
4.299023e+002, 3.535230e+002
4.303844e+002, 3.523834e+002
4.308665e+002, 3.526327e+002
4.313487e+002, 3.529106e+002
4.318308e+002, 3.524547e+002
4.323129e+002, 3.512224e+002
4.327950e+002, 3.502820e+002
4.332771e+002, 3.497287e+002
4.337592e+002, 3.492570e+002
4.342414e+002, 3.482621e+002
4.347235e+002, 3.468257e+002
4.352056e+002, 3.459612e+002
4.356877e+002, 3.462949e+002
4.361698e+002, 3.471931e+002
4.366519e+002, 3.472697e+002
4.371341e+002, 3.465580e+002
4.376162e+002, 3.456777e+002
4.380983e+002, 3.449272e+002
4.385804e+002, 3.443500e+002
4.390625e+002, 3.440432e+002
4.395446e+002, 3.440565e+002
4.400268e+002, 3.442281e+002
4.405089e+002, 3.445852e+002
4.409910e+002, 3.449889e+002
4.414731e+002, 3.451525e+002
4.419552e+002, 3.447056e+002
4.424373e+002, 3.441655e+002
4.429195e+002, 3.437923e+002
4.434016e+002, 3.435983e+002
4.438837e+002, 3.436345e+002
4.443658e+002, 3.442946e+002
4.448479e+002, 3.449777e+002
4.453300e+002, 3.451812e+002
4.458122e+002, 3.439621e+002
