##NAMES=Scotlandite
##RRUFFID=R100043
##IDEAL CHEMISTRY=Pb^2+^S^4+^O_3_
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Colorless, elongated tabular crystals associated with aravaipaite R100032 and laurelite R100011
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100043
534.1866, 83.13335
534.6688, 81.90517
535.1509, 80.75240
535.6330, 80.36195
536.1151, 81.33138
536.5972, 83.16965
537.0793, 84.76810
537.5615, 86.30752
538.0436, 86.79167
538.5257, 84.78366
539.0078, 82.47605
539.4899, 82.02319
539.9720, 83.38505
540.4542, 84.50501
540.9363, 83.99968
541.4184, 82.85578
541.9005, 82.51027
542.3826, 82.98440
542.8647, 83.61134
543.3469, 84.15724
543.8290, 84.52064
544.3111, 84.35123
544.7932, 83.30216
545.2753, 82.61436
545.7574, 82.90977
546.2396, 83.31119
546.7217, 83.05003
547.2038, 82.13709
547.6859, 80.95095
548.1680, 79.68940
548.6501, 78.49062
549.1323, 78.01875
549.6144, 78.83631
550.0965, 79.42161
550.5786, 79.52638
551.0607, 79.43584
551.5428, 79.31593
552.0250, 79.19771
552.5071, 79.06415
552.9892, 78.84115
553.4713, 78.61372
553.9534, 78.67708
554.4355, 79.09761
554.9177, 79.47088
555.3998, 79.59213
555.8819, 79.61543
556.3640, 79.76189
556.8461, 80.05085
557.3282, 80.32451
557.8104, 80.70818
558.2925, 80.93710
558.7746, 80.55790
559.2567, 79.62534
559.7388, 78.73228
560.2209, 78.22014
560.7031, 78.01425
561.1852, 77.87315
561.6673, 77.72454
562.1494, 77.75450
562.6315, 78.18414
563.1136, 78.62240
563.5958, 78.75056
564.0779, 78.60750
564.5600, 78.44437
565.0421, 78.44344
565.5242, 78.54470
566.0063, 78.44450
566.4885, 77.85848
566.9706, 77.90498
567.4527, 79.78834
567.9348, 81.69062
568.4169, 82.25327
568.8990, 81.54586
569.3812, 80.66145
569.8633, 80.08830
570.3454, 79.71458
570.8275, 79.24707
571.3096, 78.72774
571.7917, 78.85255
572.2739, 80.16503
572.7560, 81.88049
573.2381, 82.52636
573.7202, 81.82198
574.2023, 81.25502
574.6844, 80.95604
575.1666, 80.84003
575.6487, 81.14168
576.1308, 81.57535
576.6129, 81.26037
577.0950, 79.67888
577.5771, 77.76063
578.0593, 77.87990
578.5414, 81.49827
579.0235, 83.14830
579.5056, 80.55555
579.9877, 77.79772
580.4698, 76.83266
580.9520, 77.13113
581.4341, 77.11600
581.9162, 75.81621
582.3983, 74.46703
582.8804, 75.07983
583.3625, 77.43460
583.8447, 79.15876
584.3268, 79.67705
584.8089, 79.48048
585.2910, 78.81441
585.7731, 77.74555
586.2552, 76.98462
586.7374, 76.60655
587.2195, 76.53644
587.7016, 76.96834
588.1837, 77.62389
588.6658, 78.02339
589.1479, 78.02592
589.6301, 77.82751
590.1122, 77.62680
590.5943, 77.39349
591.0764, 77.46379
591.5585, 78.22944
592.0406, 78.84531
592.5228, 79.40674
593.0049, 79.57323
593.4870, 78.56772
593.9691, 76.25046
594.4512, 74.32590
594.9333, 74.83134
595.4155, 77.16844
595.8976, 78.70324
596.3797, 79.19187
596.8618, 79.33331
597.3439, 79.57440
597.8260, 79.69896
598.3082, 79.15117
598.7903, 77.47337
599.2724, 76.28248
599.7545, 76.22991
600.2366, 76.83792
600.7188, 77.97090
601.2009, 79.38114
601.6830, 80.07512
602.1651, 79.23177
602.6472, 77.53668
603.1293, 77.67315
603.6115, 81.37200
604.0936, 83.70476
604.5757, 83.78157
