##NAMES=Trechmannite
##RRUFFID=R130062
##IDEAL CHEMISTRY=Ag^1+^As^3+^S^2-^_2_
##LOCALITY=Lengenbach quarry, Imfeld, Binn Valley, Wallis, Switzerland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Single dark red crystal, associated with jordanite and binnite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130062
585.9418, 83.66370
586.4240, 84.02518
586.9061, 83.26097
587.3882, 82.92387
587.8703, 82.89041
588.3524, 82.88769
588.8345, 82.99290
589.3167, 83.41782
589.7988, 83.41210
590.2809, 83.52647
590.7630, 83.61536
591.2451, 83.71402
591.7272, 83.73741
592.2094, 83.39324
592.6915, 82.64111
593.1736, 82.22964
593.6557, 82.53770
594.1378, 83.26859
594.6199, 83.77155
595.1021, 84.05213
595.5842, 84.18906
596.0663, 84.17336
596.5484, 84.07192
597.0305, 83.90765
597.5126, 83.67612
597.9948, 83.58575
598.4769, 84.01938
598.9590, 84.49653
599.4411, 84.58111
599.9232, 83.82398
600.4053, 83.27487
600.8875, 83.27752
601.3696, 83.51031
601.8517, 83.50846
602.3338, 83.05531
602.8159, 82.81059
603.2980, 82.97414
603.7802, 83.40708
604.2623, 83.59179
604.7444, 83.50044
605.2265, 83.38319
605.7086, 83.38084
606.1907, 83.45405
606.6729, 83.47739
607.1550, 83.45029
607.6371, 83.37074
608.1192, 83.06243
608.6013, 82.77148
609.0834, 82.91507
609.5656, 83.69545
610.0477, 84.33768
610.5298, 84.27957
611.0119, 83.91242
611.4940, 83.67449
611.9761, 83.73799
612.4583, 83.85733
612.9404, 84.07877
613.4225, 84.32361
613.9046, 83.95953
614.3867, 84.52837
614.8688, 84.85932
615.3510, 84.96516
615.8331, 84.17295
616.3152, 84.53934
616.7973, 84.44079
617.2794, 84.32273
617.7615, 84.85090
618.2437, 84.18699
618.7258, 84.70400
619.2079, 84.74898
619.6900, 85.00933
620.1721, 84.80187
620.6542, 84.73830
621.1364, 85.14182
621.6185, 85.28600
622.1006, 85.02293
622.5827, 85.29430
623.0648, 84.60954
623.5469, 84.76294
624.0291, 85.27773
624.5112, 85.03590
624.9933, 85.31355
625.4754, 85.39273
625.9575, 84.57154
626.4396, 85.31495
626.9218, 85.38107
627.4039, 84.75179
627.8860, 85.44022
628.3681, 84.90584
628.8502, 84.80731
629.3323, 85.03668
629.8145, 84.92331
630.2966, 85.34914
630.7787, 85.25464
