##NAMES=Hisingerite
##RRUFFID=R070126
##IDEAL CHEMISTRY=Fe^3+^_2_Si_2_O_5_(OH)_4_&#183;2H_2_O
##LOCALITY=Nickel Plate mine, Hedley, British Columbia, Canada
##OWNER=RRUFF
##SOURCE=Lloyd Twaites
##DESCRIPTION=Chocolate brown hexagonal prismatic crystal, appearing to have replaced quartz. Amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070126
650.1369, 13642.58
650.6190, 13629.19
651.1011, 13613.94
651.5833, 13607.40
652.0654, 13608.85
652.5475, 13615.32
653.0296, 13631.67
653.5117, 13647.38
653.9938, 13657.98
654.4760, 13663.50
654.9581, 13656.43
655.4402, 13616.26
655.9223, 13577.55
656.4044, 13562.07
656.8865, 13582.02
657.3687, 13592.92
657.8508, 13593.44
658.3329, 13586.94
658.8150, 13576.42
659.2971, 13561.91
659.7792, 13546.00
660.2614, 13527.57
660.7435, 13510.83
661.2256, 13501.88
661.7077, 13499.67
662.1898, 13501.00
662.6719, 13509.55
663.1541, 13516.81
663.6362, 13515.93
664.1183, 13507.91
664.6004, 13498.51
665.0825, 13486.66
665.5646, 13476.37
666.0468, 13471.51
666.5289, 13473.77
667.0110, 13466.73
667.4931, 13444.55
667.9752, 13422.08
668.4573, 13412.68
668.9395, 13417.23
669.4216, 13414.41
669.9037, 13402.54
670.3858, 13384.92
670.8679, 13360.17
671.3500, 13332.59
671.8322, 13316.69
672.3143, 13325.66
672.7964, 13330.03
673.2785, 13297.04
673.7606, 13242.85
674.2427, 13200.08
674.7249, 13186.65
675.2070, 13178.71
675.6891, 13166.34
676.1712, 13151.81
676.6533, 13150.66
677.1354, 13170.79
677.6176, 13191.00
678.0997, 13203.54
678.5818, 13208.58
679.0639, 13206.06
679.5460, 13194.88
680.0281, 13184.15
680.5103, 13190.09
680.9924, 13200.95
681.4745, 13180.69
681.9566, 13120.94
682.4387, 13068.64
682.9208, 13064.75
683.4030, 13086.80
683.8851, 13110.30
684.3672, 13143.83
684.8493, 13154.81
685.3314, 13115.40
685.8135, 13054.63
686.2957, 13018.88
686.7778, 13018.41
687.2599, 13024.65
687.7420, 13036.60
688.2241, 13049.77
688.7062, 13049.11
689.1884, 13034.14
689.6705, 13019.05
690.1526, 13005.25
690.6347, 12998.12
691.1168, 13015.89
691.5989, 13054.60
692.0811, 13085.86
692.5632, 13092.15
693.0453, 13083.71
693.5274, 13063.71
694.0095, 13030.54
694.4916, 13005.85
694.9738, 13000.09
695.4559, 13000.93
695.9380, 13000.79
696.4201, 13000.43
696.9022, 12996.77
697.3843, 12988.75
697.8665, 12979.24
698.3486, 12970.74
698.8307, 12963.38
699.3128, 12960.17
699.7949, 12963.51
700.2770, 12966.20
700.7592, 12955.14
701.2413, 12936.52
701.7234, 12923.96
702.2055, 12933.07
702.6876, 12939.97
703.1697, 12924.47
703.6519, 12895.97
704.1340, 12883.15
704.6161, 12903.48
705.0982, 12927.16
705.5803, 12950.58
706.0624, 12972.69
706.5446, 12983.26
707.0267, 12984.22
707.5088, 12966.31
707.9909, 12904.97
708.4730, 12816.76
708.9551, 12782.74
709.4373, 12803.29
709.9194, 12839.40
710.4015, 12870.25
710.8836, 12893.52
