##NAMES=Schmitterite
##RRUFFID=R060524
##IDEAL CHEMISTRY=(U^6+^O_2_)Te^4+^O_3_
##LOCALITY=Moctezuma mine, Moctezuma, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale yellow rosette associated with green emmonsite, R060802
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R060524
620.8757, 26.62500
621.3578, 11.46094
621.8400, 19.58984
622.3221, 38.42188
622.8042, 17.67188
623.2863, 44.38281
623.7684, 72.55078
624.2505, 29.69141
624.7327, 19.07422
625.2148, 40.78516
625.6969, 26.96484
626.1790, 20.76953
626.6611, 26.00781
627.1432, 31.08594
627.6254, 20.56641
628.1075, 4.132813
628.5896, 20.14062
629.0717, 21.46094
629.5538, 17.94141
630.0359, 23.03125
630.5181, 33.25391
631.0002, 40.74219
631.4823, 39.78516
631.9644, 36.90625
632.4465, 35.49609
632.9286, 35.58203
633.4108, 37.28906
633.8929, 50.19141
634.3750, 55.77734
634.8571, 44.34375
635.3392, 14.97266
635.8214, 12.83984
636.3035, 42.25391
636.7856, 64.82031
637.2677, 72.38281
637.7498, 61.30859
638.2319, 59.93359
638.7141, 68.80859
639.1962, 82.16016
639.6783, 98.36328
640.1604, 114.3984
640.6425, 118.4414
641.1246, 106.2383
641.6068, 87.30859
642.0889, 66.91016
642.5710, 47.20312
643.0531, 32.76562
643.5352, 31.76172
644.0173, 29.80859
644.4995, 20.06641
644.9816, 5.187500
645.4637, 8.703125
645.9458, 21.22656
646.4279, 30.37500
646.9100, 33.08594
647.3922, 30.31250
647.8743, 33.12109
648.3564, 41.01562
648.8385, 55.97656
649.3206, 85.07422
649.8027, 125.5430
650.2849, 145.5273
650.7670, 143.8633
651.2491, 137.4141
651.7312, 141.2070
652.2133, 150.0586
652.6954, 156.4844
653.1776, 159.3320
653.6597, 158.1133
654.1418, 146.3594
654.6239, 134.5391
655.1060, 134.3828
655.5881, 160.2227
656.0703, 183.4531
656.5524, 203.5234
657.0345, 217.4102
657.5166, 217.4961
657.9987, 196.8594
658.4808, 180.0547
658.9630, 172.9688
659.4451, 173.7930
659.9272, 177.1992
660.4093, 183.1875
660.8914, 190.1250
661.3735, 201.8008
661.8557, 212.3555
662.3378, 206.8203
662.8199, 187.8359
663.3020, 175.2422
663.7841, 185.9023
664.2662, 205.5977
664.7484, 221.0078
665.2305, 228.2422
665.7126, 250.1797
666.1947, 303.6523
666.6768, 365.4180
667.1589, 420.8945
667.6411, 480.1836
668.1232, 507.7812
668.6053, 488.9727
669.0874, 456.7344
669.5695, 451.9727
670.0516, 474.1797
670.5338, 510.0000
671.0159, 561.7500
671.4980, 613.7500
671.9801, 636.9727
672.4622, 640.9961
672.9443, 650.3398
673.4265, 681.9805
673.9086, 716.3086
674.3907, 740.8516
674.8728, 759.0312
675.3549, 778.4375
675.8370, 804.9766
676.3192, 829.4258
676.8013, 843.1836
677.2834, 850.2148
677.7655, 879.4219
678.2476, 939.3711
678.7297, 1001.176
679.2119, 1048.949
679.6940, 1082.340
680.1761, 1113.910
680.6582, 1145.312
681.1403, 1183.160
681.6224, 1234.219
682.1046, 1289.391
682.5867, 1326.551
683.0688, 1341.855
683.5509, 1367.215
684.0330, 1430.152
684.5151, 1508.918
684.9973, 1583.523
685.4794, 1653.625
685.9615, 1717.609
