##NAMES=Tsumcorite
##RRUFFID=R100185
##IDEAL CHEMISTRY=Pb^2+^Zn^2+^_2_(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Mina Ojuela (Campo Sur), Mapimi, Durango, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Brilliant brown wedge-shaped crystals on pulverant segnitite, associated with colorless mimetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100185
580.9178, 11.55092
581.3999, 11.83283
581.8820, 12.03427
582.3641, 12.01725
582.8463, 11.80417
583.3284, 11.52185
583.8105, 11.05453
584.2926, 10.68666
584.7747, 10.37464
585.2568, 10.21051
585.7390, 10.26174
586.2211, 10.52996
586.7032, 11.01330
587.1853, 11.87527
587.6674, 12.83273
588.1495, 13.03797
588.6317, 12.38927
589.1138, 11.57727
589.5959, 10.55328
590.0780, 9.724910
590.5601, 9.631674
591.0422, 10.25855
591.5244, 10.89095
592.0065, 11.50352
592.4886, 11.87891
592.9707, 11.74485
593.4528, 11.18549
593.9349, 10.34336
594.4171, 9.221161
594.8992, 8.332493
595.3813, 8.679662
595.8634, 10.96001
596.3455, 12.41235
596.8276, 12.83205
597.3098, 12.76737
597.7919, 12.09922
598.2740, 11.19514
598.7561, 10.63638
599.2382, 10.66866
599.7203, 10.92959
600.2025, 10.89295
600.6846, 10.57189
601.1667, 10.48238
601.6488, 10.75101
602.1309, 11.10417
602.6130, 11.40286
603.0952, 11.64673
603.5773, 11.81429
604.0594, 11.87306
604.5415, 11.91395
605.0236, 12.20710
605.5057, 12.42639
605.9879, 11.80261
606.4700, 10.32437
606.9521, 9.131639
607.4342, 9.254481
607.9163, 10.47123
608.3984, 11.09299
608.8806, 10.49513
609.3627, 10.14124
609.8448, 10.33427
610.3269, 10.67314
610.8090, 10.80414
611.2911, 10.75039
611.7733, 10.83814
612.2554, 11.46436
612.7375, 12.23021
613.2196, 11.99845
613.7017, 10.63105
614.1838, 9.751330
614.6660, 10.04198
615.1481, 10.77941
615.6302, 11.24082
616.1123, 11.44000
616.5944, 11.28208
617.0765, 10.35217
617.5587, 9.434244
