##NAMES=Eckermannite
##RRUFFID=R060320
##IDEAL CHEMISTRY=NaNa_2_(Mg_4_Al)Si_8_O_22_(OH)_2_
##LOCALITY=Norra Karr Complex, near Granna, Ostergotsland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Parallel aggregate of blue elongated bladed crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060320
##MEASURED CHEMISTRY=(Na_2.50_K_0.30_[box]_0.20_)_Σ=3_(Mg_2.35_Fe^2+^_1.35_Al_1.20_Mn_0.10_)_Σ=5_Si_8.00_O_22_((OH)_1.18_F_0.82_)_Σ=2_; OH estimated by charge balance, dark material
##PIN_ID=M00815
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
1199.089, 282.6328
1200.172, 320.5664
1201.255, 310.7148
1202.337, 283.0430
1203.420, 281.5977
1204.502, 150.3516
1205.584, 425.6914
1206.666, 246.8555
1207.748, 414.9570
1208.829, 58.58203
1209.911, 196.8672
1210.992, 357.5742
1212.073, 19.29688
1213.154, 221.8828
1214.235, 72.75781
1215.316, 73.65625
1216.396, 83.69141
1217.476, 192.7461
1218.556, 19.81641
1219.636, 144.2617
1220.716, 378.5859
1221.796, 104.6875
1222.875, 253.9492
1223.955, 336.2500
1225.034, 91.45703
1226.113, 49.79688
1227.192, 225.7500
1228.270, 111.8750
1229.349, 248.6562
1230.427, 253.7695
1231.505, 368.9141
1232.583, 262.0859
1233.661, 341.0156
1234.739, 315.8359
1235.817, 362.6875
1236.894, 421.5430
1237.971, 283.3320
1239.048, 342.4062
1240.125, 179.0273
1241.202, 174.0195
1242.278, 258.4844
1243.355, 235.3281
1244.431, 389.3242
1245.507, 461.0742
1246.583, 428.2812
1247.659, 757.9023
1248.734, 625.8086
1249.810, 733.5547
1250.885, 470.7305
1251.960, 767.0508
1253.035, 572.3320
1254.110, 518.5781
1255.185, 291.7891
1256.259, 477.9570
1257.333, 312.0859
1258.408, 599.1758
1259.482, 391.2227
1260.555, 351.2305
1261.629, 487.7656
1262.702, 579.1367
1263.776, 630.0273
1264.849, 529.8789
1265.922, 559.6836
1266.995, 515.4453
1268.068, 474.2852
1269.140, 479.1797
1270.212, 494.8164
1271.285, 478.9180
1272.357, 403.6562
1273.428, 457.3672
1274.500, 348.8164
1275.572, 621.3555
1276.643, 511.7070
1277.714, 271.0117
1278.785, 577.3516
1279.856, 256.5586
1280.927, 428.7617
1281.998, 65.25391
1283.068, 552.2617
1284.138, 331.2852
